Source,Species,decimalLongitude,decimalLatitude
GBIF,Quercus engelmannii,-117.046497,33.2324
GBIF,Quercus engelmannii,-116.552963,33.233036
GBIF,Quercus engelmannii,-116.559995,33.233499
SEINET,Quercus engelmanii Greene.,-117.14444,33.23361
GBIF,Quercus engelmannii,-116.993805,33.235772
GBIF,Quercus engelmannii,-117.317705,33.238624
GBIF,Quercus engelmannii,-116.83781,33.24346
GBIF,Quercus engelmannii,-116.768558,33.244214
GBIF,Quercus engelmannii,-116.9634,33.25041
GBIF,Quercus engelmannii,-116.774742,33.257233
GBIF,Quercus engelmannii,-116.66729,33.25779
GBIF,Quercus engelmannii,-116.62172,33.26204
GBIF,Quercus engelmannii,-116.621736,33.262053
GBIF,Quercus engelmannii,-116.7709,33.2632
GBIF,Quercus engelmannii,-116.779895,33.267209
GBIF,Quercus engelmannii,-116.780045,33.267227
GBIF,Quercus engelmannii,-116.625,33.2756
GBIF,Quercus engelmannii,-116.65722,33.27833
GBIF,Quercus engelmannii,-116.657222,33.278333
GBIF,Quercus engelmannii,-116.63113,33.2842
GBIF,Quercus engelmannii,-116.880683,33.286954
